,PLAYER,INJURY COUNT
0,Abdelkader Justin,1
1,Aberg Pontus,1
2,Andersen Frederik,2
3,Anderson Craig,2
4,Anderson Joey,1
5,Andrighetto Sven,1
6,Anisimov Artem,1
7,Archibald Josh,1
8,Armia Joel,1
9,Arvidsson Viktor,2
10,Aston-Reese Zach,2
11,Athanasiou Andreas,1
12,Atkinson Cam,1
13,Backes David,1
14,Backlund Mikael,1
15,Baertschi Sven,2
16,Barberio Mark,2
17,Barrie Tyson,1
18,Bastian Nathan,1
19,Beagle Jay,1
20,Beaulieu Nathan,1
21,Benn Jamie,2
22,Bennett Sam,2
23,Benning Matt,1
24,Bergeron Patrice,1
25,Berglund Patrik,1
26,Bernier Jonathan,1
27,Bertuzzi Tyler,1
28,Bishop Ben,4
29,Bishop Clark,1
30,Bjugstad Nick,1
31,Blackwood Mackenzie,1
32,Blais Sammy,1
33,Bobrovsky Sergei,1
34,Boedker Mikkel,1
35,Boeser Brock,2
36,Bogosian Zach,5
37,Bolland Dave,1
38,Borowiecki Mark,5
39,Bortuzzo Robert,2
40,Bouwmeester Jay,1
41,Boychuk Johnny,1
42,Boyd Travis,1
43,Boyle Brian,2
44,Bozak Tyler,1
45,Brassard Derick,3
46,Bratt Jesper,3
47,Braun Justin,1
48,Brisebois Guillaume,1
49,Brodzinski Jonny,1
50,Brossoit Laurent,1
51,Brown Dustin,1
52,Buchnevich Pavel,2
53,Butcher Will,1
54,Byfuglien Dustin,4
55,Byron Paul,4
56,Caggiula Drake,3
57,Callahan Ryan,2
58,Campbell Jack,1
59,Capobianco Kyle,1
60,Carlo Brandon,1
61,Carlson John,1
62,Carpenter Ryan,1
63,Carrick Connor,1
64,Carrier William,1
65,Carter Jeff,2
66,Ceci Cody,2
67,Cehlarik Peter,1
68,Cernak Erik,1
69,Chabot Thomas,2
70,Chara Zdeno,1
71,Chiarot Ben,1
72,Chiasson Alex,1
73,Cholowski Dennis,1
74,Chychrun Jakob,3
75,Cizikas Casey,3
76,Claesson Fredrik,2
77,Clarkson David,1
78,Clifford Kyle,1
79,Clutterbuck Cal,3
80,Coburn Braydon,1
81,Cogliano Andrew,1
82,Cole Ian,1
83,Coleman Blake,1
84,Comeau Blake,1
85,Compher J.T.,1
86,Comtois Maxime,1
87,Connauton Kevin,2
88,Copp Andrew,1
89,Couturier Sean,1
90,Crawford Corey,3
91,Crosby Sidney,1
92,Cullen Matt,1
93,Daley Trevor,5
94,Darling Scott,1
95,Davidson Brandon,1
96,De La Rose Jacob,3
97,DeAngelo Tony,1
98,DeBrusk Jake,2
99,DeKeyser Danny,3
100,DeMelo Dylan,1
101,Demers Jason,1
102,Demko Thatcher,1
103,Dermott Travis,1
104,Deslauriers Nicolas,1
105,Dickinson Jason,2
106,Djoos Christian,1
107,Domingue Louis,1
108,Dorsett Derek,1
109,Dowling Justin,1
110,Dube Dillon,2
111,Dubinsky Brandon,3
112,Duchene Matt,1
113,Dumba Matt,1
114,Dumoulin Brian,2
115,Dunn Vince,1
116,Dvorak Christian,2
117,Dzingel Ryan,1
118,Eakin Cody,1
119,Eaves Patrick,2
120,Eberle Jordan,1
121,Edler Alexander,2
122,Edmundson Joel,3
123,Ehlers Nikolaj,1
124,Eichel Jack,1
125,Ekman-Larsson Oliver,1
126,Eller Lars,1
127,Elliott Brian,1
128,Engelland Deryk,1
129,Ennis Tyler,1
130,Ericsson Jonathan,2
131,Eriksson Ek Joel,2
132,Erne Adam,1
133,Fabbri Robby,2
134,Faksa Radek,1
135,Falk Justin,1
136,Fantenberg Oscar,1
137,Fast Jesper,2
138,Ferland Micheal,5
139,Filppula Valtteri,2
140,Fleury Haydn,2
141,Fleury Marc-Andre,1
142,Formenton Alex,1
143,Forsberg Filip,2
144,Forsling Gustav,3
145,Fowler Cam,1
146,Franzen Johan,1
147,Fritz Tanner,1
148,Frolik Michael,1
149,Gaborik Marian,1
150,Gabriel Kurtis,1
151,Galchenyuk Alex,2
152,Gardiner Jake,2
153,Gauthier Frederik,1
154,Getzlaf Ryan,4
155,Gibbons Brian,1
156,Gibson John,1
157,Girardi Dan,1
158,Girgensons Zemgus,1
159,Goligoski Alex,1
160,Gostisbehere Shayne,1
161,Grabner Michael,1
162,Grant Derek,1
163,Green Mike,1
164,Grimaldi Rocco,1
165,Grzelcyk Matt,3
166,Gudbranson Erik,2
167,Guhle Brendan,1
168,Gunnarsson Carl,3
169,Hagelin Carl,1
170,Hajek Libor,1
171,Hall Taylor,2
172,Hamhuis Dan,2
173,Hamonic Travis,2
174,Hannikainen Markus,1
175,Hanzal Martin,3
176,Harpur Ben,1
177,Harrington Scott,1
178,Hart Carter,1
179,Haula Erik,1
180,Hawryluk Jayce,1
181,Hayes Kevin,1
182,Hedman Victor,3
183,Helm Darren,1
184,Hendricks Matt,2
185,Hertl Tomas,2
186,Hickey Thomas,1
187,Hinostroza Vinnie,1
188,Hischier Nico,2
189,Holtby Braden,1
190,Holzer Korbinian,1
191,Hornqvist Patric,3
192,Horton Nathan,1
193,Hossa Marian,1
194,Howard Jimmy,1
195,Howden Brett,1
196,Hughes Quinn,1
197,Hunwick Matt,4
198,Hutton Ben,1
199,Hutton Carter,1
200,Hyman Zach,1
201,Jarnkrok Calle,1
202,Jaros Christian,4
203,Jenner Boone,1
204,Johansson Marcus,3
205,Johns Stephen,1
206,Johnson Chad,1
207,Johnson Erik,1
208,Johnson Tyler,2
209,Johnsson Andreas,2
210,Jones Seth,1
211,Joseph Mathieu,1
212,Jost Tyson,1
213,Juulsen Noah,2
214,Kadri Nazem,1
215,Kamenev Vladislav,1
216,Kampf David,2
217,Kane Evander,1
218,Kapanen Kasperi,1
219,Karlsson Erik,3
220,Karlsson Melker,1
221,Kase Ondrej,2
222,Kassian Zack,1
223,Kempe Adrian,1
224,Kempe Mario,1
225,Kempny Michal,2
226,Kerfoot Alexander,1
227,Kesler Ryan,3
228,Khaira Jujhar,1
229,Kiselevich Bogdan,1
230,Klefbom Oscar,1
231,Klingberg John,1
232,Knight Corban,2
233,Koivu Mikko,2
234,Kovalchuk Ilya,2
235,Kreider Chris,1
236,Krug Torey,2
237,Kruger Marcus,2
238,Kuemper Darcy,2
239,Kulikov Dmitry,2
240,Kunin Luke,1
241,Kuraly Sean,2
242,Kuznetsov Evgeny,1
243,LaDue Paul,1
244,Ladd Andrew,2
245,Landeskog Gabriel,1
246,Larkin Dylan,2
247,Larsson Jacob,1
248,Larsson Johan,2
249,Lehner Robin,2
250,Leipsic Brendan,1
251,Leivo Josh,1
252,Letang Kris,3
253,Lewis Trevor,1
254,Lindholm Hampus,1
255,Lovejoy Ben,2
256,Lowry Adam,1
257,Lucic Milan,2
258,Luongo Roberto,2
259,Lyon Alex,1
260,Maatta Olli,1
261,MacDermid Kurtis,1
262,MacDonald Andrew,1
263,MacKenzie Derek,1
264,Malgin Denis,1
265,Malkin Evgeni,2
266,Manson Josh,1
267,Mantha Anthony,1
268,Marchand Brad,1
269,Maroon Patrick,1
270,Martin Matt,2
271,Martinez Alec,2
272,Martinsen Andreas,1
273,Matheson Mike,1
274,Matthews Auston,1
275,McAvoy Charlie,2
276,McCabe Jake,3
277,McCann Jared,1
278,McCormick Max,1
279,McElhinney Curtis,2
280,McGinn Jamie,1
281,McLeod Cody,1
282,McQuaid Adam,2
283,Meier Timo,2
284,Mete Victor,1
285,Methot Marc,3
286,Miller Colin,1
287,Miller J.T.,1
288,Miller Kevan,4
289,Miller Ryan,2
290,Mittelstadt Casey,1
291,Moore John,2
292,Morrissey Josh,3
293,Morrow Joel,2
294,Motte Tyler,1
295,Mrazek Petr,1
296,Mueller Mirco,1
297,Murphy Connor,1
298,Murray Matt,3
299,Murray Ryan,2
300,Myers Tyler,1
301,Namestnikov Vladislav,1
302,Neal James,2
303,Nelson Casey,1
304,Nemeth Patrik,1
305,Neuvirth Michal,2
306,Nichushkin Valeri,3
307,Nielsen Frans,1
308,Nieto Matt,2
309,Nilsson Anders,1
310,Niskanen Matt,1
311,Noesen Stefan,3
312,Nordstrom Joakim,1
313,Nosek Tomas,1
314,Nylander Alexander,1
315,Oesterle Jordan,1
316,Okposo Kyle,1
317,Oleksiak Jamie,1
318,Orpik Brooks,1
319,Oshie T.J.,1
320,Paajarvi Magnus,1
321,Pacioretty Max,3
322,Pageau Jean-Gabriel,1
323,Palat Ondrej,2
324,Palmieri Kyle,3
325,Panarin Artemi,1
326,Paquette Cedric,1
327,Parise Zach,2
328,Pastrnak David,1
329,Patrick Nolan,4
330,Pavelski Joe,1
331,Perlini Brendan,1
332,Perron David,1
333,Perry Corey,1
334,Pesce Brett,1
335,Petrovic Alex,1
336,Pettersson Elias,2
337,Phaneuf Dion,1
338,Pietrangelo Alex,1
339,Pilut Lawrence,1
340,Pionk Neal,3
341,Pirri Brandon,2
342,Pitlick Tyler,1
343,Plekanec Tomas,1
344,Point Brayden,1
345,Price Carey,1
346,Puljujarvi Jesse,1
347,Pysyk Mark,1
348,Quenneville John,2
349,Quick Jonathan,2
350,Raanta Antti,2
351,Radil Lukas,1
352,Radulov Alexander,2
353,Raffl Michael,1
354,Rakell Rickard,1
355,Rask Tuukka,1
356,Rask Victor,2
357,Rasmussen Michael,2
358,Rattie Ty,1
359,Reimer James,1
360,Richardson Brad,1
361,Rieder Tobias,1
362,Rinaldo Zac,2
363,Ritchie Brett,4
364,Ritchie Nick,3
365,Rittich David,1
366,Rodewald Jack,1
367,Rodrigues Evan,1
368,Roussel Antoine,3
369,Rowney Carter,1
370,Ruhwedel Chad,1
371,Russell Kris,1
372,Rust Bryan,2
373,Ryan Bobby,1
374,Saad Brandon,1
375,Salomaki Miikka,1
376,Sanford Zach,1
377,Santini Steven,1
378,Scandella Marco,5
379,Sceviour Colton,1
380,Schenn Brayden,2
381,Scherbak Nikita,2
382,Schlemko David,2
383,Schmaltz Nick,1
384,Schneider Cory,2
385,Schultz Justin,1
386,Schwartz Jaden,2
387,Seabrook Brent,1
388,Seeler Nick,1
389,Sekera Andrej,1
390,Shattenkirk Kevin,1
391,Shaw Andrew,1
392,Sheary Conor,1
393,Shore Devin,2
394,Silfverberg Jakob,2
395,Simek Radek,2
396,Simon Dominik,1
397,Sissons Colton,1
398,Skjei Brady,1
399,Smith Brendan,1
400,Smith Craig,1
401,Smith Zack,2
402,Sobotka Vladimir,2
403,Sorensen Marcus,1
404,Soshnikov Nikita,1
405,Sparks Garret,1
406,Spooner Ryan,2
407,Staal Jordan,2
408,Staal Marc,1
409,Stafford Drew,1
410,Stastny Paul,1
411,Stecher Troy,1
412,Steen Alex,3
413,Stepan Derek,1
414,Stolarz Anthony,1
415,Stone Michael,1
416,Stralman Anton,2
417,Subban P.K.,1
418,Sundqvist Oskar,1
419,Sutter Brandon,2
420,Tanev Brandon,1
421,Tanev Chris,3
422,Tarasenko Vladimir,1
423,Terry Troy,1
424,Thomas Robert,1
425,Thornton Joe,1
426,Tkachuk Brady,2
427,Trocheck Vincent,1
428,Turris Kyle,1
429,Vaakanainen Urho,1
430,Valimaki Juuso,1
431,Vanek Thomas,3
432,Varlamov Semyon,1
433,Vasilevskiy Andrei,1
434,Vatanen Sami,2
435,Virtanen Jake,2
436,Vlasic Marc-Edouard,1
437,Voracek Jakub,1
438,WIlson Tom,1
439,Wagner Austin,2
440,Wagner Chris,2
441,Walker Sean,1
442,Ward Cam,1
443,Weber Shea,1
444,Weber Yannick,1
445,Weegar MacKenzie,4
446,White Colin,2
447,Wideman Chris,1
448,Wilson Colin,3
449,Wilson Scott,1
450,Wood Miles,3
451,Yakovlev Egor,1
452,Yamamoto Kailer,1
453,Zacha Pavel,1
454,Zadorov Nikita,2
455,Zajac Travis,1
456,Zetterberg Henrik,1
457,Zuccarello Mats,4
458,de Haan Calvin,3
459,van Riemsdyk James,1
