,CAP HIT,CHIP,GAMES MISSED,INJURY TYPE,PLAYER,POSITION,SEASON,TEAM
7935,0.925,157.926829268,14,Lower body,Comtois Maxime,F,2018/19,Anaheim
7937,3.15,1267.6829268289998,33,Ribs,Eaves Patrick,F,2018/19,Anaheim
7938,3.15,499.39024390199995,13,Shoulder,Eaves Patrick,F,2018/19,Anaheim
7939,8.25,503.04878048800003,5,Groin,Getzlaf Ryan,F,2018/19,Anaheim
7940,8.25,100.60975609799999,1,Upper body,Getzlaf Ryan,F,2018/19,Anaheim
7941,8.25,402.43902439,4,Upper body,Getzlaf Ryan,F,2018/19,Anaheim
7942,8.25,503.04878048800003,5,Upper body,Getzlaf Ryan,F,2018/19,Anaheim
7943,1.0,12.195121950999999,1,Hand,Gibbons Brian,F,2018/19,Anaheim
7944,0.65,23.780487805,3,Upper body,Grant Derek,F,2018/19,Anaheim
7945,2.6,570.731707317,18,Concussion,Kase Ondrej,F,2018/19,Anaheim
7946,2.6,1078.048780488,34,Shoulder,Kase Ondrej,F,2018/19,Anaheim
7947,6.875,251.52439024400002,3,Hip,Kesler Ryan,F,2018/19,Anaheim
7948,6.875,1173.780487805,14,Hip,Kesler Ryan,F,2018/19,Anaheim
7949,6.875,419.207317073,5,Lower body,Kesler Ryan,F,2018/19,Anaheim
7950,8.625,5364.329268293,51,Knee,Perry Corey,F,2018/19,Anaheim
7951,3.789444,600.765512195,13,Ankle,Rakell Rickard,F,2018/19,Anaheim
7953,1.64,40.0,2,Lower body,Ritchie Nick,F,2018/19,Anaheim
7954,1.64,80.0,4,Upper body,Ritchie Nick,F,2018/19,Anaheim
7955,1.64,120.0,6,Upper body,Ritchie Nick,F,2018/19,Anaheim
7956,1.133333,276.422682927,20,Upper body,Rowney Carter,F,2018/19,Anaheim
7957,2.3,56.097560976000004,2,Knee,Shore Devin,F,2018/19,Anaheim
7958,3.75,228.658536585,5,Finger,Silfverberg Jakob,F,2018/19,Anaheim
7959,3.75,182.926829268,4,Lower body,Silfverberg Jakob,F,2018/19,Anaheim
7960,1.491666,54.573146341000005,3,Leg,Terry Troy,F,2018/19,Anaheim
7961,6.5,1823.1707317070002,23,Facial,Fowler Cam,D,2018/19,Anaheim
7962,0.888333,151.666609756,14,Oblique,Guhle Brendan,D,2018/19,Anaheim
7963,0.9,460.975609756,42,Wrist,Holzer Korbinian,D,2018/19,Anaheim
7964,0.894166,43.617853659,4,Charley horse,Larsson Jacob,D,2018/19,Anaheim
7965,5.205556,380.89434146300005,6,Lower body,Lindholm Hampus,D,2018/19,Anaheim
7967,4.1,200.0,4,Upper body,Manson Josh,D,2018/19,Anaheim
7969,2.3,252.43902439,9,Upper body,Gibson John,G,2018/19,Anaheim
7970,1.75,554.87804878,26,Head,Johnson Chad,G,2018/19,Anaheim
7971,2.0,585.365853659,24,Knee,Miller Ryan,G,2018/19,Anaheim
7972,2.0,24.390243901999998,1,Lower body,Miller Ryan,G,2018/19,Anaheim
7973,0.675,32.926829268,4,Upper body,Archibald Josh,F,2018/19,Arizona/Phoenix
7974,1.106667,53.983756098,4,Lower body,Dvorak Christian,F,2018/19,Arizona/Phoenix
7975,1.106667,782.764463415,58,Pectoral,Dvorak Christian,F,2018/19,Arizona/Phoenix
7976,4.9,179.268292683,3,Lower body,Galchenyuk Alex,F,2018/19,Arizona/Phoenix
7977,4.9,418.292682927,7,Lower body,Galchenyuk Alex,F,2018/19,Arizona/Phoenix
7978,3.35,1675.0,41,Eye,Grabner Michael,F,2018/19,Arizona/Phoenix
7979,1.5,182.926829268,10,Lower body,Hinostroza Vinnie,F,2018/19,Arizona/Phoenix
7980,0.7,17.073170732,2,Upper body,Kempe Mario,F,2018/19,Arizona/Phoenix
7983,1.25,198.17073170700002,13,Upper body,Richardson Brad,F,2018/19,Arizona/Phoenix
7984,1.541667,808.4351341460001,43,Lower body,Schmaltz Nick,F,2018/19,Arizona/Phoenix
7985,6.5,792.6829268289999,10,Leg,Stepan Derek,F,2018/19,Arizona/Phoenix
7986,5.5,5500.0,82,Lower body,Bolland Dave,"F ""retired""",2018/19,Arizona/Phoenix
7987,5.275,5275.0,82,Skin infection,Hossa Marian,"F ""retired""",2018/19,Arizona/Phoenix
7988,0.894166,305.32497561,28,Lower body,Capobianco Kyle,D,2018/19,Arizona/Phoenix
7989,1.35,263.41463414599997,16,Knee,Chychrun Jakob,D,2018/19,Arizona/Phoenix
7990,1.35,65.853658537,4,Lower body,Chychrun Jakob,D,2018/19,Arizona/Phoenix
7991,1.35,32.926829268,2,Upper body,Chychrun Jakob,D,2018/19,Arizona/Phoenix
7993,1.375,16.768292683,1,Lower body,Connauton Kevin,D,2018/19,Arizona/Phoenix
7994,1.375,83.841463415,5,Lower body,Connauton Kevin,D,2018/19,Arizona/Phoenix
7995,3.9375,2256.8597560979997,47,Knee,Demers Jason,D,2018/19,Arizona/Phoenix
7996,5.5,67.073170732,1,Knee,Ekman-Larsson Oliver,D,2018/19,Arizona/Phoenix
7998,5.475,333.841463415,5,Lower body,Goligoski Alex,D,2018/19,Arizona/Phoenix
7999,0.65,7.926829268,1,Upper body,Oesterle Jordan,D,2018/19,Arizona/Phoenix
8000,1.85,157.926829268,7,Lower body,Kuemper Darcy,G,2018/19,Arizona/Phoenix
8001,1.85,22.56097561,1,Upper body,Kuemper Darcy,G,2018/19,Arizona/Phoenix
8002,4.25,3057.926829268,59,Knee,Raanta Antti,G,2018/19,Arizona/Phoenix
8003,4.25,362.804878049,7,Lower body,Raanta Antti,G,2018/19,Arizona/Phoenix
8004,6.0,365.85365853699994,5,Upper body,Backes David,F,2018/19,Boston
8005,6.875,1341.463414634,16,Sternoclavicular,Bergeron Patrice,F,2018/19,Boston
8006,0.925,22.56097561,2,Lower body,Cehlarik Peter,F,2018/19,Boston
8007,1.288333,141.40240243899999,9,Concussion,DeBrusk Jake,F,2018/19,Boston
8008,1.288333,78.556890244,5,Foot,DeBrusk Jake,F,2018/19,Boston
8010,2.75,335.36585365900004,10,Lung,Johansson Marcus,F,2018/19,Boston
8011,1.275,31.097560976,2,Concussion,Kuraly Sean,F,2018/19,Boston
8012,1.275,124.39024390200001,8,Hand,Kuraly Sean,F,2018/19,Boston
8013,6.125,74.695121951,1,Upper body,Marchand Brad,F,2018/19,Boston
8014,1.0,121.95121951200001,10,Leg,Nordstrom Joakim,F,2018/19,Boston
8015,6.666666,1300.812878049,16,Thumb,Pastrnak David,F,2018/19,Boston
8016,1.25,15.243902439000001,1,Lower body,Wagner Chris,F,2018/19,Boston
8017,1.25,30.487804878000002,2,Lower body,Wagner Chris,F,2018/19,Boston
8018,0.894167,98.14028048799999,9,Upper body,Carlo Brandon,D,2018/19,Boston
8019,6.75,1564.024390244,19,Knee,Chara Zdeno,D,2018/19,Boston
8020,1.4,136.585365854,8,Arm,Grzelcyk Matt,D,2018/19,Boston
8021,1.4,34.146341463,2,Lower body,Grzelcyk Matt,D,2018/19,Boston
8022,1.4,68.292682927,4,Lower body,Grzelcyk Matt,D,2018/19,Boston
8023,5.25,704.268292683,11,Ankle,Krug Torey,D,2018/19,Boston
8024,5.25,384.14634146300006,6,Concussion,Krug Torey,D,2018/19,Boston
8025,1.258333,306.910487805,20,Concussion,McAvoy Charlie,D,2018/19,Boston
8026,1.258333,107.41867073200001,7,Lower body,McAvoy Charlie,D,2018/19,Boston
8027,2.5,396.341463415,13,Hand,Miller Kevan,D,2018/19,Boston
8028,2.5,396.341463415,13,Larynx,Miller Kevan,D,2018/19,Boston
8029,2.5,30.487804878000002,1,Lower body,Miller Kevan,D,2018/19,Boston
8030,2.5,487.804878049,16,Upper body,Miller Kevan,D,2018/19,Boston
8031,2.75,100.60975609799999,3,Lower body,Moore John,D,2018/19,Boston
8032,2.75,201.219512195,6,Upper body,Moore John,D,2018/19,Boston
8033,1.333333,422.764121951,26,Concussion,Vaakanainen Urho,D,2018/19,Boston
8034,7.0,85.365853659,1,Concussion,Rask Tuukka,G,2018/19,Boston
8036,3.85,234.756097561,5,Upper body,Berglund Patrik,F,2018/19,Buffalo
8037,10.0,365.85365853699994,3,Upper body,Eichel Jack,F,2018/19,Buffalo
8038,1.6,78.048780488,4,Upper body,Girgensons Zemgus,F,2018/19,Buffalo
8039,1.475,53.963414633999996,3,Foot,Larsson Johan,F,2018/19,Buffalo
8040,1.475,35.975609756,2,Upper body,Larsson Johan,F,2018/19,Buffalo
8042,1.491666,36.382097561,2,Lower body,Mittelstadt Casey,F,2018/19,Buffalo
8043,1.7133330000000002,41.788609756,2,Leg,Nylander Alexander,F,2018/19,Buffalo
8044,6.0,292.682926829,4,Concussion,Okposo Kyle,F,2018/19,Buffalo
8047,0.65,15.853658537000001,2,Upper body,Rodrigues Evan,F,2018/19,Buffalo
8048,3.0,146.341463415,4,Upper body,Sheary Conor,F,2018/19,Buffalo
8049,3.5,128.048780488,3,Upper body,Sobotka Vladimir,F,2018/19,Buffalo
8050,3.5,213.414634146,5,Upper body,Sobotka Vladimir,F,2018/19,Buffalo
8051,1.05,550.609756098,43,Ankle,Wilson Scott,F,2018/19,Buffalo
8053,2.4,117.07317073200001,4,Upper body,Beaulieu Nathan,D,2018/19,Buffalo
8054,5.142857,62.717768293,1,Lower body,Bogosian Zach,D,2018/19,Buffalo
8055,5.142857,125.435536585,2,Lower body,Bogosian Zach,D,2018/19,Buffalo
8056,5.142857,313.588841463,5,Lower body,Bogosian Zach,D,2018/19,Buffalo
8057,5.142857,501.74214634099997,8,Lower body,Bogosian Zach,D,2018/19,Buffalo
8058,5.142857,62.717768293,1,Upper body,Bogosian Zach,D,2018/19,Buffalo
8059,2.25,27.43902439,1,Lower body,Hunwick Matt,D,2018/19,Buffalo
8060,2.25,82.317073171,3,Lower body,Hunwick Matt,D,2018/19,Buffalo
8061,2.25,878.048780488,32,Neck,Hunwick Matt,D,2018/19,Buffalo
8062,2.25,246.951219512,9,Upper body,Hunwick Matt,D,2018/19,Buffalo
8063,1.6,19.512195122,1,Upper body,McCabe Jake,D,2018/19,Buffalo
8064,1.6,175.609756098,9,Upper body,McCabe Jake,D,2018/19,Buffalo
8065,1.6,253.658536585,13,Upper body,McCabe Jake,D,2018/19,Buffalo
8066,0.8125,287.347560976,29,Upper body,Nelson Casey,D,2018/19,Buffalo
8067,1.35,49.390243901999995,3,Lower body,Pilut Lawrence,D,2018/19,Buffalo
8069,4.0,48.780487805,1,Lower body,Scandella Marco,D,2018/19,Buffalo
8070,4.0,195.12195122,4,Lower body,Scandella Marco,D,2018/19,Buffalo
8071,4.0,48.780487805,1,Upper body,Scandella Marco,D,2018/19,Buffalo
8072,4.0,195.12195122,4,Upper body,Scandella Marco,D,2018/19,Buffalo
8073,4.0,390.243902439,8,Vertigo,Scandella Marco,D,2018/19,Buffalo
8074,2.75,33.536585366,1,Upper body,Hutton Carter,G,2018/19,Buffalo
8076,5.35,260.975609756,4,Concussion,Backlund Mikael,F,2018/19,Calgary
8077,1.95,47.56097561,2,Upper body,Bennett Sam,F,2018/19,Calgary
8078,1.95,118.902439024,5,Upper body,Bennett Sam,F,2018/19,Calgary
8079,0.910833,44.43087804899999,4,Concussion,Dube Dillon,F,2018/19,Calgary
8080,0.910833,11.107719512000001,1,Lower body,Dube Dillon,F,2018/19,Calgary
8081,4.3,786.585365854,15,Lower body,Frolik Michael,F,2018/19,Calgary
8086,5.75,1192.0731707319999,17,Lower body,Neal James,F,2018/19,Calgary
8087,5.75,70.12195122,1,Upper body,Neal James,F,2018/19,Calgary
8089,3.857143,376.30663414599996,8,Facial,Hamonic Travis,D,2018/19,Calgary
8090,3.857143,47.038329268000005,1,Lower body,Hamonic Travis,D,2018/19,Calgary
8093,3.5,2091.463414634,49,Blood clots,Stone Michael,D,2018/19,Calgary
8094,1.319166,450.446926829,28,Lower body,Valimaki Juuso,D,2018/19,Calgary
8095,0.8,19.512195122,2,Lower body,Rittich David,G,2018/19,Calgary
8097,0.713333,69.593463415,8,Lower body,Bishop Clark,F,2018/19,Carolina
8098,1.75,21.341463415,1,Back,Ferland Micheal,F,2018/19,Carolina
8099,1.75,85.365853659,4,Concussion,Ferland Micheal,F,2018/19,Carolina
8100,1.75,21.341463415,1,Upper body,Ferland Micheal,F,2018/19,Carolina
8101,1.75,42.682926829,2,Upper body,Ferland Micheal,F,2018/19,Carolina
8102,1.75,64.024390244,3,Upper body,Ferland Micheal,F,2018/19,Carolina
8103,4.0,975.609756098,20,Hand,Rask Victor,F,2018/19,Carolina
8104,6.0,365.85365853699994,5,Concussion,Staal Jordan,F,2018/19,Carolina
8105,6.0,1975.609756098,27,Concussion,Staal Jordan,F,2018/19,Carolina
8106,4.55,166.463414634,3,Eye,de Haan Calvin,D,2018/19,Carolina
8107,4.55,110.975609756,2,Upper body,de Haan Calvin,D,2018/19,Carolina
8108,4.55,166.463414634,3,Upper body,de Haan Calvin,D,2018/19,Carolina
8109,1.7133330000000002,62.682914634,3,Concussion,Fleury Haydn,D,2018/19,Carolina
8110,1.7133330000000002,188.048743902,9,Concussion,Fleury Haydn,D,2018/19,Carolina
8111,4.025,441.768292683,9,Lower body,Pesce Brett,D,2018/19,Carolina
8112,4.15,404.87804878,8,Lower body,Darling Scott,G,2018/19,Carolina
8113,0.85,41.463414634,4,Knee,McElhinney Curtis,G,2018/19,Carolina
8114,0.85,51.829268293,5,Lower body,McElhinney Curtis,G,2018/19,Carolina
8115,1.5,164.634146341,9,Lower body,Mrazek Petr,G,2018/19,Carolina
8116,4.55,221.951219512,4,Concussion,Anisimov Artem,F,2018/19,Chicago
8117,1.5,237.80487804900002,13,Concussion,Caggiula Drake,F,2018/19,Chicago
8118,0.925,22.56097561,2,Facial,Kampf David,F,2018/19,Chicago
8119,0.925,135.365853659,12,Foot,Kampf David,F,2018/19,Chicago
8121,2.775,135.365853659,4,Concussion,Kruger Marcus,F,2018/19,Chicago
8122,2.775,101.524390244,3,Leg,Kruger Marcus,F,2018/19,Chicago
8123,0.65,23.780487805,3,Back,Martinsen Andreas,F,2018/19,Chicago
8124,1.363333,49.878036585,3,Concussion,Perlini Brendan,F,2018/19,Chicago
8126,6.0,146.341463415,2,Arm,Saad Brandon,F,2018/19,Chicago
8128,0.65,190.243902439,24,Leg,Davidson Brandon,D,2018/19,Chicago
8129,0.925,67.682926829,6,Shoulder,Forsling Gustav,D,2018/19,Chicago
8130,0.925,90.243902439,8,Torso,Forsling Gustav,D,2018/19,Chicago
8131,0.925,90.243902439,8,Wrist,Forsling Gustav,D,2018/19,Chicago
8134,3.85,1408.536585366,30,Back,Murphy Connor,D,2018/19,Chicago
8135,6.875,251.52439024400002,3,Abdominal,Seabrook Brent,D,2018/19,Chicago
8137,6.0,365.85365853699994,5,Concussion,Crawford Corey,G,2018/19,Chicago
8138,6.0,2048.780487805,28,Concussion,Crawford Corey,G,2018/19,Chicago
8139,6.0,73.170731707,1,Groin,Crawford Corey,G,2018/19,Chicago
8141,3.0,146.341463415,4,Knee,Ward Cam,G,2018/19,Chicago
8142,1.4,102.43902439,6,Lower body,Andrighetto Sven,F,2018/19,Colorado
8143,1.0,195.12195122,16,Concussion,Compher J.T.,F,2018/19,Colorado
8144,1.6733330000000002,81.626,4,Head,Jost Tyson,F,2018/19,Colorado
8145,0.894167,567.0327317069999,52,Shoulder,Kamenev Vladislav,F,2018/19,Colorado
8146,1.1375,55.487804878,4,Upper body,Kerfoot Alexander,F,2018/19,Colorado
8147,5.571429,611.498304878,9,Shoulder,Landeskog Gabriel,F,2018/19,Colorado
8148,1.975,48.170731707,2,Lower body,Nieto Matt,F,2018/19,Colorado
8149,1.975,361.280487805,15,Lower body,Nieto Matt,F,2018/19,Colorado
8151,3.9375,48.018292683,1,Lower body,Wilson Colin,F,2018/19,Colorado
8152,3.9375,384.14634146300006,8,Shoulder,Wilson Colin,F,2018/19,Colorado
8153,3.9375,384.14634146300006,8,Upper body,Wilson Colin,F,2018/19,Colorado
8154,1.45,141.463414634,8,Head,Barberio Mark,D,2018/19,Colorado
8155,1.45,335.975609756,19,Upper body,Barberio Mark,D,2018/19,Colorado
8156,5.5,268.292682927,4,Lower body,Barrie Tyson,D,2018/19,Colorado
8157,4.25,570.12195122,11,Orbital bone,Cole Ian,D,2018/19,Colorado
8158,6.0,146.341463415,2,Concussion,Johnson Erik,D,2018/19,Colorado
8159,2.5,60.975609756000004,2,Upper body,Nemeth Patrik,D,2018/19,Colorado
8160,2.15,262.195121951,10,Lower body,Zadorov Nikita,D,2018/19,Colorado
8161,2.15,26.219512195,1,Upper body,Zadorov Nikita,D,2018/19,Colorado
8163,5.9,143.902439024,2,Lower body,Varlamov Semyon,G,2018/19,Colorado
8164,5.875,71.646341463,1,Facial,Atkinson Cam,F,2018/19,Columbus
8166,5.85,499.39024390199995,7,Hip,Dubinsky Brandon,F,2018/19,Columbus
8167,5.85,285.36585365900004,4,Lower body,Dubinsky Brandon,F,2018/19,Columbus
8168,5.85,713.414634146,10,Oblique,Dubinsky Brandon,F,2018/19,Columbus
8170,0.675,49.390243901999995,6,Upper body,Hannikainen Markus,F,2018/19,Columbus
8171,3.75,137.195121951,3,Ankle,Jenner Boone,F,2018/19,Columbus
8177,6.0,73.170731707,1,Lower body,Panarin Artemi,F,2018/19,Columbus
8178,0.675,16.463414634,2,Concussion,Harrington Scott,D,2018/19,Columbus
8180,5.4,460.975609756,7,Knee,Jones Seth,D,2018/19,Columbus
8181,2.75,167.682926829,5,Upper body,McQuaid Adam,D,2018/19,Columbus
8183,2.825,34.451219512,1,Lower body,Murray Ryan,D,2018/19,Columbus
8184,2.825,826.829268293,24,Upper body,Murray Ryan,D,2018/19,Columbus
8187,7.425,90.54878048799999,1,Upper body,Bobrovsky Sergei,G,2018/19,Columbus
8188,9.5,115.853658537,1,Upper body,Benn Jamie,F,2018/19,Dallas
8189,9.5,231.70731707299998,2,Upper body,Benn Jamie,F,2018/19,Dallas
8190,3.25,118.902439024,3,Upper body,Cogliano Andrew,F,2018/19,Dallas
8192,2.4,87.804878049,3,Upper body,Comeau Blake,F,2018/19,Dallas
8193,0.875,117.37804878,11,Back,Dickinson Jason,F,2018/19,Dallas
8194,0.875,21.341463415,2,Lower body,Dickinson Jason,F,2018/19,Dallas
8195,0.65,23.780487805,3,Upper body,Dowling Justin,F,2018/19,Dallas
8196,2.2,26.829268293000002,1,Neck,Faksa Radek,F,2018/19,Dallas
8197,4.75,57.926829268,1,Back,Hanzal Martin,F,2018/19,Dallas
8198,4.75,1679.87804878,29,Back,Hanzal Martin,F,2018/19,Dallas
8199,4.75,2606.707317073,45,Back,Hanzal Martin,F,2018/19,Dallas
8201,2.95,71.951219512,2,Lower body,Nichushkin Valeri,F,2018/19,Dallas
8202,2.95,107.92682926799999,3,Lower body,Nichushkin Valeri,F,2018/19,Dallas
8203,2.95,107.92682926799999,3,Upper body,Nichushkin Valeri,F,2018/19,Dallas
8205,1.0,365.85365853699994,30,Wrist,Pitlick Tyler,F,2018/19,Dallas
8207,6.25,304.87804878,4,Lower body,Radulov Alexander,F,2018/19,Dallas
8208,6.25,457.317073171,6,Lower body,Radulov Alexander,F,2018/19,Dallas
8209,1.75,21.341463415,1,Hand,Ritchie Brett,F,2018/19,Dallas
8210,1.75,42.682926829,2,Hand,Ritchie Brett,F,2018/19,Dallas
8211,1.75,21.341463415,1,Upper body,Ritchie Brett,F,2018/19,Dallas
8212,1.75,85.365853659,4,Upper body,Ritchie Brett,F,2018/19,Dallas
8213,2.3,112.195121951,4,Lower body,Shore Devin,F,2018/19,Dallas
8215,3.15,653.048780488,17,Arm,Zuccarello Mats,F,2018/19,Dallas
8216,1.3,428.04878048800003,27,Foot,Carrick Connor,D,2018/19,Dallas
8219,2.35,2350.0,82,Head,Johns Stephen,D,2018/19,Dallas
