,Date,Year,Team_x,Player,Notes,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%,MP,Pos
0,10/25/2017,2017,Blazers,Meyers Leonard,sore/sprained right ankle (DTD),27,7.08,255,Illinois,USA,2012,1,11,61,5.9,3.8,1.2,-3.7,5.50%,20.60%,14.90%,67.50%,12.30%,7.7,C
1,12/13/2017,2017,Blazers,Meyers Leonard,illness (DTD),27,7.08,255,Illinois,USA,2012,1,11,61,5.9,3.8,1.2,-3.7,5.50%,20.60%,14.90%,67.50%,12.30%,7.7,C
2,12/30/2017,2017,Blazers,Meyers Leonard,ankle injury (DTD),27,7.08,255,Illinois,USA,2012,1,11,61,5.9,3.8,1.2,-3.7,5.50%,20.60%,14.90%,67.50%,12.30%,7.7,C
3,1/1/2018,2018,Kings,Frank Mason,bruised right heel (DTD),25,5.92,190,Kansas,USA,2017,2,34,38,5.1,1.1,2.2,-14.5,1.30%,8.30%,21.30%,50.20%,28.00%,18.9,PG
4,4/9/2018,2018,Kings,Frank Mason,partially torn plantar fascia in left foot (out for season),25,5.92,190,Kansas,USA,2017,2,34,38,5.1,1.1,2.2,-14.5,1.30%,8.30%,21.30%,50.20%,28.00%,18.9,PG
5,1/1/2018,2018,Rockets,James Harden,strained left hamstring (DTD),29,6.42,220,Arizona State,USA,2009,1,3,78,36.1,6.6,7.5,6.3,2.30%,15.70%,39.60%,61.60%,39.40%,35.4,SG
6,3/11/2018,2018,Rockets,James Harden,sore left knee (DTD),29,6.42,220,Arizona State,USA,2009,1,3,78,36.1,6.6,7.5,6.3,2.30%,15.70%,39.60%,61.60%,39.40%,35.4,SG
7,1/3/2018,2018,Cavaliers,Isaiah Thomas,right hip injury (DTD),30,5.75,185,Washington,USA,2011,2,60,12,8.1,1.1,1.9,-5.5,2.30%,4.00%,27.40%,43.70%,19.80%,26.9,PG
8,3/24/2018,2018,Lakers,Isaiah Thomas,right hip injury (out for season),30,5.75,185,Washington,USA,2011,2,60,12,8.1,1.1,1.9,-5.5,2.30%,4.00%,27.40%,43.70%,19.80%,26.9,PG
9,3/28/2018,2018,Lakers,Isaiah Thomas,surgery on right hip (out for season),30,5.75,185,Washington,USA,2011,2,60,12,8.1,1.1,1.9,-5.5,2.30%,4.00%,27.40%,43.70%,19.80%,26.9,PG
10,9/26/2017,2017,Cavaliers,Isaiah Thomas,right hip impingement (DTD),30,5.75,185,Washington,USA,2011,2,60,12,8.1,1.1,1.9,-5.5,2.30%,4.00%,27.40%,43.70%,19.80%,26.9,PG
11,1/2/2018,2018,Clippers,Austin Rivers,sore right Achilles (DTD),26,6.33,200,Duke,USA,2012,1,10,76,8.1,2.1,2.2,2.5,1.20%,6.50%,14.20%,50.30%,12.00%,33.7,SG
12,4/9/2018,2018,Clippers,Austin Rivers,sore right elbow (out for season),26,6.33,200,Duke,USA,2012,1,10,76,8.1,2.1,2.2,2.5,1.20%,6.50%,14.20%,50.30%,12.00%,33.7,SG
13,12/30/2017,2017,Clippers,Austin Rivers,strained right Achilles tendon (DTD),26,6.33,200,Duke,USA,2012,1,10,76,8.1,2.1,2.2,2.5,1.20%,6.50%,14.20%,50.30%,12.00%,33.7,SG
14,12/30/2017,2017,Nuggets,Malik Beasley,elbow injury (DTD),22,6.42,195,Florida State,USA,2016,1,19,81,11.3,2.5,1.2,3.9,1.80%,8.50%,18.10%,59.90%,7.40%,9.4,SG
15,11/1/2017,2017,Heat,James Johnson,tendinitis in right knee (DTD),32,6.67,240,Wake Forest,USA,2009,1,16,55,7.8,3.2,2.5,-4.6,1.80%,12.30%,17.70%,52.20%,16.70%,26.6,PF
16,12/17/2017,2017,Heat,James Johnson,right ankle injury (DTD),32,6.67,240,Wake Forest,USA,2009,1,16,55,7.8,3.2,2.5,-4.6,1.80%,12.30%,17.70%,52.20%,16.70%,26.6,PF
17,12/18/2017,2017,Heat,James Johnson,bursitis in right ankle (DTD),32,6.67,240,Wake Forest,USA,2009,1,16,55,7.8,3.2,2.5,-4.6,1.80%,12.30%,17.70%,52.20%,16.70%,26.6,PF
18,12/26/2017,2017,Heat,James Johnson,bursitis in right ankle (DTD),32,6.67,240,Wake Forest,USA,2009,1,16,55,7.8,3.2,2.5,-4.6,1.80%,12.30%,17.70%,52.20%,16.70%,26.6,PF
19,1/3/2018,2018,Pistons,Andre Drummond,bruised right rib (DTD),25,6.92,279,Connecticut,USA,2012,1,9,79,17.3,15.6,1.4,3.3,15.10%,31.10%,22.60%,55.50%,6.80%,33.7,C
20,1/6/2018,2018,Pistons,Andre Drummond,bruised right rib (DTD),25,6.92,279,Connecticut,USA,2012,1,9,79,17.3,15.6,1.4,3.3,15.10%,31.10%,22.60%,55.50%,6.80%,33.7,C
21,1/11/2018,2018,Spurs,Tony Parker,sprained right ankle (DTD),37,6.17,185,None,France,2001,1,28,56,9.5,1.5,3.7,-0.1,1.30%,6.70%,24.70%,51.20%,33.10%,19.5,PG
22,2/9/2018,2018,Spurs,Tony Parker,tightness in back (DTD),37,6.17,185,None,France,2001,1,28,56,9.5,1.5,3.7,-0.1,1.30%,6.70%,24.70%,51.20%,33.10%,19.5,PG
23,2/11/2018,2018,Spurs,LaMarcus Aldridge,sore right knee (DTD),33,6.92,260,Texas,USA,2006,1,2,81,21.3,9.2,2.4,1.5,9.60%,18.00%,26.80%,57.60%,11.50%,33.5,C
24,3/11/2018,2018,Spurs,LaMarcus Aldridge,sore right knee (DTD),33,6.92,260,Texas,USA,2006,1,2,81,21.3,9.2,2.4,1.5,9.60%,18.00%,26.80%,57.60%,11.50%,33.5,C
25,1/5/2018,2018,Suns,Isaiah Canaan,strained left adductor (DTD),28,6,200,Murray State,USA,2013,2,34,30,6,1.9,2.8,-12.3,1.00%,8.60%,14.70%,51.80%,19.40%,21.1,PG-SG
26,1/31/2018,2018,Suns,Isaiah Canaan,fractured left ankle (out indefinitely),28,6,200,Murray State,USA,2013,2,34,30,6,1.9,2.8,-12.3,1.00%,8.60%,14.70%,51.80%,19.40%,21.1,PG-SG
27,1/6/2018,2018,Celtics,Al Horford,sore left calf / knee injury (DTD),33,6.83,245,Florida,Dominican Rep...,2007,1,3,68,13.6,6.7,4.2,6.1,6.20%,16.10%,18.80%,60.50%,20.30%,31.6,C
28,1/24/2018,2018,Celtics,Al Horford,concussion (DTD),33,6.83,245,Florida,Dominican Rep...,2007,1,3,68,13.6,6.7,4.2,6.1,6.20%,16.10%,18.80%,60.50%,20.30%,31.6,C
29,3/28/2018,2018,Celtics,Al Horford,ankle injury (DTD),33,6.83,245,Florida,Dominican Rep...,2007,1,3,68,13.6,6.7,4.2,6.1,6.20%,16.10%,18.80%,60.50%,20.30%,31.6,C
30,1/6/2018,2018,Clippers,Milos Teodosic,sore plantar fascia in left foot (DTD),32,6.42,196,None,Serbia,Undrafted,Undrafted,Undrafted,15,3.2,1.1,2.1,5.4,2.10%,8.40%,17.10%,55.70%,26.00%,25.2,PG
31,2/9/2018,2018,Clippers,Milos Teodosic,sore right foot (DTD),32,6.42,196,None,Serbia,Undrafted,Undrafted,Undrafted,15,3.2,1.1,2.1,5.4,2.10%,8.40%,17.10%,55.70%,26.00%,25.2,PG
32,3/28/2018,2018,Clippers,Milos Teodosic,plantar fascia in left foot (out for season),32,6.42,196,None,Serbia,Undrafted,Undrafted,Undrafted,15,3.2,1.1,2.1,5.4,2.10%,8.40%,17.10%,55.70%,26.00%,25.2,PG
33,10/22/2017,2017,Clippers,Milos Teodosic,plantar fascia in left foot (out indefinitely),32,6.42,196,None,Serbia,Undrafted,Undrafted,Undrafted,15,3.2,1.1,2.1,5.4,2.10%,8.40%,17.10%,55.70%,26.00%,25.2,PG
34,1/6/2018,2018,Magic,Jonathon Simmons,back spasms (DTD),29,6.5,195,Houston,USA,Undrafted,Undrafted,Undrafted,56,6.5,2.3,2.3,-5.3,2.40%,9.00%,18.20%,46.60%,17.50%,29.4,SG
35,3/20/2018,2018,Magic,Jonathon Simmons,bruised right wrist (out for season),29,6.5,195,Houston,USA,Undrafted,Undrafted,Undrafted,56,6.5,2.3,2.3,-5.3,2.40%,9.00%,18.20%,46.60%,17.50%,29.4,SG
36,1/6/2018,2018,Spurs,Kawhi Leonard,partial tear in left shoulder (DTD),28,6.58,230,San Diego State,USA,2011,1,15,60,26.6,7.3,3.3,7.9,3.90%,16.50%,30.00%,60.60%,15.90%,23.3,SF
37,1/15/2018,2018,Spurs,Kawhi Leonard,right quadriceps injury / rest (DTD),28,6.58,230,San Diego State,USA,2011,1,15,60,26.6,7.3,3.3,7.9,3.90%,16.50%,30.00%,60.60%,15.90%,23.3,SF
38,9/30/2017,2017,Spurs,Kawhi Leonard,sore right quadriceps (out indefinitely),28,6.58,230,San Diego State,USA,2011,1,15,60,26.6,7.3,3.3,7.9,3.90%,16.50%,30.00%,60.60%,15.90%,23.3,SF
39,12/23/2017,2017,Spurs,Kawhi Leonard,right quadricep injury / rest (DTD),28,6.58,230,San Diego State,USA,2011,1,15,60,26.6,7.3,3.3,7.9,3.90%,16.50%,30.00%,60.60%,15.90%,23.3,SF
40,1/7/2018,2018,Nets,DeMarre Carroll,sprained right knee (DTD),32,6.67,215,Missouri,USA,2009,1,27,67,11.1,5.2,1.3,1.9,3.70%,15.10%,18.10%,54.60%,7.50%,29.9,PF
41,4/4/2018,2018,Nets,DeMarre Carroll,strained left hip (out for season),32,6.67,215,Missouri,USA,2009,1,27,67,11.1,5.2,1.3,1.9,3.70%,15.10%,18.10%,54.60%,7.50%,29.9,PF
42,11/27/2017,2017,Nets,DeMarre Carroll,illness (DTD),32,6.67,215,Missouri,USA,2009,1,27,67,11.1,5.2,1.3,1.9,3.70%,15.10%,18.10%,54.60%,7.50%,29.9,PF
43,1/7/2018,2018,Suns,Marquese Chriss,strained right hip flexor (DTD),21,6.83,240,Washington,USA,2016,1,8,43,4.2,3.3,0.5,-17.3,7.20%,21.60%,19.60%,45.50%,6.90%,21.2,PF
44,1/8/2018,2018,Bulls,Nikola Mirotic,stomach virus (DTD),28,6.83,250,None,Montenegro,2011,1,23,46,15.2,7.4,1.2,3.7,4.50%,19.80%,20.60%,58.40%,6.10%,27.2,PF
45,3/24/2018,2018,Pelicans,Nikola Mirotic,hip injury (DTD),28,6.83,250,None,Montenegro,2011,1,23,46,15.2,7.4,1.2,3.7,4.50%,19.80%,20.60%,58.40%,6.10%,27.2,PF
46,3/24/2018,2018,Pelicans,Nikola Mirotic,right hip flexor injury (DTD),28,6.83,250,None,Montenegro,2011,1,23,46,15.2,7.4,1.2,3.7,4.50%,19.80%,20.60%,58.40%,6.10%,27.2,PF
47,10/17/2017,2017,Bulls,Nikola Mirotic,fractured bones in face (out indefinitely),28,6.83,250,None,Montenegro,2011,1,23,46,15.2,7.4,1.2,3.7,4.50%,19.80%,20.60%,58.40%,6.10%,27.2,PF
48,1/8/2018,2018,Nets,Nik Stauskas,ankle injury (DTD),25,6.5,205,Michigan,Canada,2014,1,8,68,5.9,1.9,1.2,-12.9,1.60%,10.40%,17.10%,54.50%,12.30%,12.8,SG
49,11/10/2017,2017,76ers,Nik Stauskas,sprained right ankle (DTD),25,6.5,205,Michigan,Canada,2014,1,8,68,5.9,1.9,1.2,-12.9,1.60%,10.40%,17.10%,54.50%,12.30%,12.8,SG
50,1/9/2018,2018,Heat,Tyler Johnson,strained left shoulder (DTD),27,6.33,190,Fresno State,USA,Undrafted,Undrafted,Undrafted,57,10.9,3,2.9,-4,2.10%,8.70%,18.00%,53.20%,16.50%,28.5,PG
51,12/13/2017,2017,Heat,Tyler Johnson,migraine headache (DTD),27,6.33,190,Fresno State,USA,Undrafted,Undrafted,Undrafted,57,10.9,3,2.9,-4,2.10%,8.70%,18.00%,53.20%,16.50%,28.5,PG
52,1/10/2018,2018,Jazz,Derrick Favors,sprained right ankle (DTD),27,6.83,265,Georgia Tech,USA,2010,1,3,76,11.8,7.4,1.2,4.6,11.50%,18.80%,18.80%,62.40%,7.90%,28,C
53,3/5/2018,2018,Jazz,Derrick Favors,neck spasms (DTD),27,6.83,265,Georgia Tech,USA,2010,1,3,76,11.8,7.4,1.2,4.6,11.50%,18.80%,18.80%,62.40%,7.90%,28,C
54,3/19/2018,2018,Jazz,Derrick Favors,sore left knee (DTD),27,6.83,265,Georgia Tech,USA,2010,1,3,76,11.8,7.4,1.2,4.6,11.50%,18.80%,18.80%,62.40%,7.90%,28,C
55,12/16/2017,2017,Jazz,Derrick Favors,eye laceration (DTD),27,6.83,265,Georgia Tech,USA,2010,1,3,76,11.8,7.4,1.2,4.6,11.50%,18.80%,18.80%,62.40%,7.90%,28,C
56,12/18/2017,2017,Jazz,Derrick Favors,concussion (DTD),27,6.83,265,Georgia Tech,USA,2010,1,3,76,11.8,7.4,1.2,4.6,11.50%,18.80%,18.80%,62.40%,7.90%,28,C
57,1/10/2018,2018,Pacers,Myles Turner,right elbow injury (DTD),23,6.92,250,Texas,USA,2015,1,11,74,13.3,7.2,1.6,2.8,4.80%,19.50%,19.90%,56.70%,8.30%,28.2,C
58,10/19/2017,2017,Pacers,Myles Turner,sore neck (DTD),23,6.92,250,Texas,USA,2015,1,11,74,13.3,7.2,1.6,2.8,4.80%,19.50%,19.90%,56.70%,8.30%,28.2,C
59,1/10/2018,2018,Pelicans,Anthony Davis,sprained right ankle (DTD),26,6.83,253,Kentucky,USA,2012,1,1,56,25.9,12,3.9,3.4,8.90%,24.90%,28.80%,59.70%,18.60%,36.4,PF
60,3/9/2018,2018,Pelicans,Anthony Davis,sprained left ankle (DTD),26,6.83,253,Kentucky,USA,2012,1,1,56,25.9,12,3.9,3.4,8.90%,24.90%,28.80%,59.70%,18.60%,36.4,PF
61,10/26/2017,2017,Pelicans,Anthony Davis,left knee tendinitis (DTD),26,6.83,253,Kentucky,USA,2012,1,1,56,25.9,12,3.9,3.4,8.90%,24.90%,28.80%,59.70%,18.60%,36.4,PF
62,12/2/2017,2017,Pelicans,Anthony Davis,strained adductor in left groin/pelvis (DTD),26,6.83,253,Kentucky,USA,2012,1,1,56,25.9,12,3.9,3.4,8.90%,24.90%,28.80%,59.70%,18.60%,36.4,PF
63,12/11/2017,2017,Pelicans,Anthony Davis,strained adductor in left groin/pelvis (DTD),26,6.83,253,Kentucky,USA,2012,1,1,56,25.9,12,3.9,3.4,8.90%,24.90%,28.80%,59.70%,18.60%,36.4,PF
64,1/10/2018,2018,Warriors,Stephen Curry,sprained right ankle (DTD),31,6.25,190,Davidson,USA,2009,1,7,69,27.3,5.3,5.2,13.7,2.00%,12.20%,29.20%,64.10%,22.50%,32,PG
65,3/24/2018,2018,Warriors,Stephen Curry,sprained MCL in left knee (out indefinitely),31,6.25,190,Davidson,USA,2009,1,7,69,27.3,5.3,5.2,13.7,2.00%,12.20%,29.20%,64.10%,22.50%,32,PG
66,12/5/2017,2017,Warriors,Stephen Curry,sprained right ankle (DTD),31,6.25,190,Davidson,USA,2009,1,7,69,27.3,5.3,5.2,13.7,2.00%,12.20%,29.20%,64.10%,22.50%,32,PG
67,1/11/2018,2018,76ers,Amir Johnson,gasroenteritis (DTD),32,6.75,240,None,USA,2005,2,56,51,3.9,2.9,1.2,-5,8.40%,18.50%,16.90%,57.40%,15.60%,15.8,C
68,3/28/2018,2018,76ers,Amir Johnson,illness (DTD),32,6.75,240,None,USA,2005,2,56,51,3.9,2.9,1.2,-5,8.40%,18.50%,16.90%,57.40%,15.60%,15.8,C
69,1/11/2018,2018,Clippers,C.J. Williams,sprained right ankle (DTD),29,6.42,226,North Carolina State,USA,Undrafted,Undrafted,Undrafted,15,2.6,0.5,0.8,-17.5,0.70%,5.30%,13.80%,55.00%,15.80%,18.6,SG
70,1/11/2018,2018,Rockets,Zhou Qi,right elbow injury (DTD),23,7.08,210,None,China,2016,2,43,1,2,0,0,-66.7,0.00%,0.00%,33.30%,100%,0.00%,6.9,C
71,3/14/2018,2018,Rockets,Zhou Qi,rib injury (DTD),23,7.08,210,None,China,2016,2,43,1,2,0,0,-66.7,0.00%,0.00%,33.30%,100%,0.00%,6.9,C
72,11/29/2017,2017,Rockets,Zhou Qi,sore left calf (DTD),23,7.08,210,None,China,2016,2,43,1,2,0,0,-66.7,0.00%,0.00%,33.30%,100%,0.00%,6.9,C
73,1/12/2018,2018,Blazers,Evan Turner,illness (DTD),30,6.58,220,Ohio State,USA,2010,1,2,73,6.8,4.5,3.9,1.3,2.20%,16.70%,15.80%,50.40%,24.20%,25.7,SF
74,10/25/2017,2017,Cavaliers,Dwyane Wade,bruised left knee (DTD),37,6.33,220,Marquette,USA,2003,1,5,72,15,4,4.2,-1.8,3.30%,10.60%,26.90%,51.00%,26.40%,22.9,SG
75,12/12/2017,2017,Cavaliers,Dwyane Wade,sore left knee (DTD),37,6.33,220,Marquette,USA,2003,1,5,72,15,4,4.2,-1.8,3.30%,10.60%,26.90%,51.00%,26.40%,22.9,SG
76,1/12/2018,2018,Heat,Dion Waiters,surgery on left ankle (out indefinitely) (date approximate),27,6.33,215,Syracuse,USA,2012,1,4,44,12,2.6,2.8,-2,0.60%,9.40%,21.30%,53.00%,16.40%,30.6,SG
77,12/23/2017,2017,Heat,Dion Waiters,sprained left ankle (DTD),27,6.33,215,Syracuse,USA,2012,1,4,44,12,2.6,2.8,-2,0.60%,9.40%,21.30%,53.00%,16.40%,30.6,SG
78,1/13/2018,2018,Clippers,DeAndre Jordan,sprained left ankle (DTD),30,6.92,265,Texas A&M,USA,2008,2,35,69,11,13.1,2.3,-5.1,10.50%,31.50%,14.80%,67.40%,11.90%,31.5,C
79,1/13/2018,2018,Jazz,Thabo Sefolosha,surgery on right knee (out for season),35,6.58,220,None,Switzerland,2006,1,13,50,3.8,2.5,0.5,8.8,1.40%,18.10%,12.90%,59.90%,5.90%,21.2,SF
80,1/13/2018,2018,Nets,Tyler Zeller,sore left hip (DTD),29,7,253,North Carolina,USA,2012,1,17,6,7.7,4,0.7,6.7,10.50%,12.30%,19.10%,60.70%,6.90%,16.8,C
81,3/5/2018,2018,Bucks,Tyler Zeller,sore back (DTD),29,7,253,North Carolina,USA,2012,1,17,6,7.7,4,0.7,6.7,10.50%,12.30%,19.10%,60.70%,6.90%,16.8,C
82,12/15/2017,2017,Heat,Justise Winslow,strained left knee (DTD),23,6.58,225,Duke,USA,2015,1,10,66,12.6,5.4,4.3,3.4,3.10%,14.10%,20.60%,51.30%,21.30%,24.7,PF
83,1/15/2018,2018,76ers,Richaun Holmes,gastroenteritis (DTD),25,6.83,235,Bowling Green,USA,2015,2,37,70,8.2,4.7,0.9,-5.4,9.50%,17.30%,17.40%,64.70%,8.20%,15.5,C
84,10/8/2017,2017,76ers,Richaun Holmes,fractured wrist (out indefinitely),25,6.83,235,Bowling Green,USA,2015,2,37,70,8.2,4.7,0.9,-5.4,9.50%,17.30%,17.40%,64.70%,8.20%,15.5,C
85,11/20/2017,2017,76ers,Richaun Holmes,illness (DTD),25,6.83,235,Bowling Green,USA,2015,2,37,70,8.2,4.7,0.9,-5.4,9.50%,17.30%,17.40%,64.70%,8.20%,15.5,C
86,1/15/2018,2018,Lakers,Brandon Ingram,sprained left ankle/knee (DTD),21,6.75,190,Duke,USA,2016,1,2,52,18.3,5.1,3,-1.5,2.20%,11.30%,22.70%,55.50%,12.70%,33.5,SF
87,1/19/2018,2018,Lakers,Brandon Ingram,sprained left ankle (DTD),21,6.75,190,Duke,USA,2016,1,2,52,18.3,5.1,3,-1.5,2.20%,11.30%,22.70%,55.50%,12.70%,33.5,SF
88,1/15/2018,2018,Lakers,Lonzo Ball,sprained left knee (DTD),21,6.5,190,California-Los Angeles,USA,2017,1,2,47,9.9,5.3,5.4,-0.7,3.60%,12.40%,16.70%,48.70%,23.60%,34.2,PG
89,3/30/2018,2018,Lakers,Lonzo Ball,bruised left knee (out for season),21,6.5,190,California-Los Angeles,USA,2017,1,2,47,9.9,5.3,5.4,-0.7,3.60%,12.40%,16.70%,48.70%,23.60%,34.2,PG
90,12/24/2017,2017,Lakers,Lonzo Ball,sprained left shoulder (DTD),21,6.5,190,California-Los Angeles,USA,2017,1,2,47,9.9,5.3,5.4,-0.7,3.60%,12.40%,16.70%,48.70%,23.60%,34.2,PG
91,1/16/2018,2018,Mavericks,J.J. Barea,strained left groin (DTD),35,6,185,Northeastern,Puerto Rico,Undrafted,Undrafted,Undrafted,38,10.9,2.5,5.6,3.2,1.60%,10.60%,26.30%,49.50%,45.40%,23.2,PG
92,1/27/2018,2018,Mavericks,J.J. Barea,strained left oblique (DTD),35,6,185,Northeastern,Puerto Rico,Undrafted,Undrafted,Undrafted,38,10.9,2.5,5.6,3.2,1.60%,10.60%,26.30%,49.50%,45.40%,23.2,PG
93,1/17/2018,2018,Grizzlies,Marc Gasol,illness (DTD),34,7.08,255,None,Spain,2007,2,48,79,13.6,7.9,4.4,3.5,3.40%,22.70%,21.00%,54.60%,22.20%,33,C
94,2/24/2018,2018,Grizzlies,Marc Gasol,DNP,34,7.08,255,None,Spain,2007,2,48,79,13.6,7.9,4.4,3.5,3.40%,22.70%,21.00%,54.60%,22.20%,33,C
95,3/19/2018,2018,Grizzlies,Marc Gasol,illness (DTD),34,7.08,255,None,Spain,2007,2,48,79,13.6,7.9,4.4,3.5,3.40%,22.70%,21.00%,54.60%,22.20%,33,C
96,1/17/2018,2018,Pistons,Luke Kennard,thumb injury (DTD),23,6.42,206,Duke,USA,2017,1,12,63,9.7,2.9,1.8,0.3,0.80%,12.10%,17.90%,56.00%,12.20%,20,SG
97,2/3/2018,2018,Pistons,Luke Kennard,sore left big toe (DTD),23,6.42,206,Duke,USA,2017,1,12,63,9.7,2.9,1.8,0.3,0.80%,12.10%,17.90%,56.00%,12.20%,20,SG
98,1/18/2018,2018,Bulls,Kris Dunn,concussion (out indefinitely),25,6.33,205,Providence,USA,2016,1,5,46,11.3,4.1,6,-7.6,1.30%,11.90%,19.80%,48.40%,29.00%,29.3,PG
99,3/16/2018,2018,Bulls,Kris Dunn,sprained right toe (out for season),25,6.33,205,Providence,USA,2016,1,5,46,11.3,4.1,6,-7.6,1.30%,11.90%,19.80%,48.40%,29.00%,29.3,PG
100,10/7/2017,2017,Bulls,Kris Dunn,dislocated left index finger (out indefinitely),25,6.33,205,Providence,USA,2016,1,5,46,11.3,4.1,6,-7.6,1.30%,11.90%,19.80%,48.40%,29.00%,29.3,PG
101,12/29/2017,2017,Bulls,Kris Dunn,patellar tendinitis in left knee (DTD),25,6.33,205,Providence,USA,2016,1,5,46,11.3,4.1,6,-7.6,1.30%,11.90%,19.80%,48.40%,29.00%,29.3,PG
102,1/18/2018,2018,Lakers,Kentavious Caldwell-Pope,strained right Achilles (DTD),26,6.42,205,Georgia,USA,2013,1,8,82,11.4,2.9,1.3,-3.7,2.20%,8.80%,17.50%,56.80%,7.70%,33.2,SG
